Week_Start,Task,Hours_Before,Hours_After,Hours_Saved
2023-05-01,Lead_Report,2.43,0.33,2.1
2023-05-01,Traffic_Analysis,2.0,0.15,1.85
2023-05-01,Dashboard_Update,3.35,0.85,2.5
2023-05-01,Data_Cleaning,4.96,2.46,2.5
2023-05-01,Monthly_Summary,2.06,0.45,1.61
2023-05-08,Lead_Report,4.58,2.16,2.42
2023-05-08,Traffic_Analysis,4.14,1.24,2.9
2023-05-08,Dashboard_Update,1.69,0.23,1.46
2023-05-08,Data_Cleaning,4.18,1.93,2.25
2023-05-08,Monthly_Summary,1.34,0.21,1.13
2023-05-15,Lead_Report,1.96,0.8,1.16
2023-05-15,Traffic_Analysis,4.26,0.31,3.95
2023-05-15,Dashboard_Update,2.46,0.98,1.48
2023-05-15,Data_Cleaning,2.82,0.88,1.94
2023-05-15,Monthly_Summary,3.7,0.3,3.4
2023-05-22,Lead_Report,1.52,0.27,1.25
2023-05-22,Traffic_Analysis,4.71,1.55,3.16
2023-05-22,Dashboard_Update,2.21,0.24,1.97
2023-05-22,Data_Cleaning,1.25,0.33,0.92
2023-05-22,Monthly_Summary,3.98,0.29,3.69
2023-05-29,Lead_Report,1.47,0.62,0.85
2023-05-29,Traffic_Analysis,1.91,0.55,1.36
2023-05-29,Dashboard_Update,3.76,1.35,2.41
2023-05-29,Data_Cleaning,3.37,0.87,2.5
2023-05-29,Monthly_Summary,2.16,0.48,1.68
2023-06-05,Lead_Report,2.32,0.48,1.84
2023-06-05,Traffic_Analysis,2.12,0.51,1.61
2023-06-05,Dashboard_Update,1.58,0.22,1.36
2023-06-05,Data_Cleaning,2.93,0.81,2.12
2023-06-05,Monthly_Summary,4.01,0.69,3.32
2023-06-12,Lead_Report,3.65,0.75,2.9
2023-06-12,Traffic_Analysis,2.78,1.2,1.58
2023-06-12,Dashboard_Update,1.74,0.79,0.95
2023-06-12,Data_Cleaning,4.65,0.93,3.72
2023-06-12,Monthly_Summary,4.35,0.68,3.67
2023-06-19,Lead_Report,3.23,0.68,2.55
2023-06-19,Traffic_Analysis,4.54,1.04,3.5
2023-06-19,Dashboard_Update,4.31,0.52,3.79
2023-06-19,Data_Cleaning,2.5,0.83,1.67
2023-06-19,Monthly_Summary,2.63,1.26,1.37
2023-06-26,Lead_Report,4.03,1.7,2.33
2023-06-26,Traffic_Analysis,1.62,0.13,1.49
2023-06-26,Dashboard_Update,3.41,0.98,2.43
2023-06-26,Data_Cleaning,1.91,0.25,1.66
2023-06-26,Monthly_Summary,4.48,0.55,3.93
2023-07-03,Lead_Report,4.45,0.53,3.92
2023-07-03,Traffic_Analysis,1.61,0.41,1.2
2023-07-03,Dashboard_Update,4.62,0.37,4.25
2023-07-03,Data_Cleaning,4.13,1.61,2.52
2023-07-03,Monthly_Summary,1.76,0.33,1.43
2023-07-10,Lead_Report,4.63,0.55,4.08
2023-07-10,Traffic_Analysis,1.93,0.94,0.99
2023-07-10,Dashboard_Update,4.6,1.42,3.18
2023-07-10,Data_Cleaning,3.34,1.08,2.26
2023-07-10,Monthly_Summary,3.23,0.88,2.35
2023-07-17,Lead_Report,2.97,1.43,1.54
2023-07-17,Traffic_Analysis,4.88,2.14,2.74
2023-07-17,Dashboard_Update,1.16,0.46,0.7
2023-07-17,Data_Cleaning,1.55,0.4,1.15
2023-07-17,Monthly_Summary,1.53,0.11,1.42
2023-07-24,Lead_Report,1.93,0.4,1.53
2023-07-24,Traffic_Analysis,1.12,0.14,0.98
2023-07-24,Dashboard_Update,4.61,2.19,2.42
2023-07-24,Data_Cleaning,2.6,0.88,1.72
2023-07-24,Monthly_Summary,1.23,0.57,0.66
2023-07-31,Lead_Report,4.86,1.96,2.9
2023-07-31,Traffic_Analysis,1.55,0.5,1.05
2023-07-31,Dashboard_Update,3.88,1.0,2.88
2023-07-31,Data_Cleaning,2.55,1.06,1.49
2023-07-31,Monthly_Summary,3.44,1.48,1.96
2023-08-07,Lead_Report,3.04,0.75,2.29
2023-08-07,Traffic_Analysis,1.23,0.21,1.02
2023-08-07,Dashboard_Update,4.02,1.77,2.25
2023-08-07,Data_Cleaning,3.27,0.74,2.53
2023-08-07,Monthly_Summary,3.03,1.17,1.86
2023-08-14,Lead_Report,1.23,0.27,0.96
2023-08-14,Traffic_Analysis,3.59,1.75,1.84
2023-08-14,Dashboard_Update,4.49,1.91,2.58
2023-08-14,Data_Cleaning,4.21,1.3,2.91
2023-08-14,Monthly_Summary,2.98,1.29,1.69
2023-08-21,Lead_Report,4.01,0.66,3.35
2023-08-21,Traffic_Analysis,4.75,0.53,4.22
2023-08-21,Dashboard_Update,1.79,0.16,1.63
2023-08-21,Data_Cleaning,4.51,0.42,4.09
2023-08-21,Monthly_Summary,3.1,0.27,2.83
2023-08-28,Lead_Report,2.78,0.34,2.44
2023-08-28,Traffic_Analysis,2.58,0.23,2.35
2023-08-28,Dashboard_Update,2.19,0.46,1.73
2023-08-28,Data_Cleaning,2.36,0.51,1.85
2023-08-28,Monthly_Summary,2.76,0.37,2.39
2023-09-04,Lead_Report,2.26,0.59,1.67
2023-09-04,Traffic_Analysis,4.42,2.15,2.27
2023-09-04,Dashboard_Update,3.06,0.79,2.27
2023-09-04,Data_Cleaning,2.55,0.13,2.42
2023-09-04,Monthly_Summary,1.58,0.1,1.48
2023-09-11,Lead_Report,1.83,0.79,1.04
2023-09-11,Traffic_Analysis,1.36,0.12,1.24
2023-09-11,Dashboard_Update,3.25,0.3,2.95
2023-09-11,Data_Cleaning,3.37,0.72,2.65
2023-09-11,Monthly_Summary,4.44,0.36,4.08
2023-09-18,Lead_Report,4.59,0.32,4.27
2023-09-18,Traffic_Analysis,4.45,1.01,3.44
2023-09-18,Dashboard_Update,1.88,0.51,1.37
2023-09-18,Data_Cleaning,1.36,0.66,0.7
2023-09-18,Monthly_Summary,1.67,0.33,1.34
2023-09-25,Lead_Report,2.99,1.12,1.87
2023-09-25,Traffic_Analysis,2.55,1.07,1.48
2023-09-25,Dashboard_Update,1.91,0.8,1.11
2023-09-25,Data_Cleaning,1.48,0.18,1.3
2023-09-25,Monthly_Summary,4.33,1.02,3.31
2023-10-02,Lead_Report,2.7,1.11,1.59
2023-10-02,Traffic_Analysis,4.39,1.56,2.83
2023-10-02,Dashboard_Update,4.85,1.24,3.61
2023-10-02,Data_Cleaning,1.22,0.59,0.63
2023-10-02,Monthly_Summary,2.62,0.44,2.18
2023-10-09,Lead_Report,1.26,0.62,0.64
2023-10-09,Traffic_Analysis,1.22,0.21,1.01
2023-10-09,Dashboard_Update,4.25,0.78,3.47
2023-10-09,Data_Cleaning,3.03,0.27,2.76
2023-10-09,Monthly_Summary,1.09,0.3,0.79
2023-10-16,Lead_Report,1.54,0.51,1.03
2023-10-16,Traffic_Analysis,2.25,0.84,1.41
2023-10-16,Dashboard_Update,1.99,0.44,1.55
2023-10-16,Data_Cleaning,1.4,0.46,0.94
2023-10-16,Monthly_Summary,2.75,0.83,1.92
2023-10-23,Lead_Report,3.66,0.24,3.42
2023-10-23,Traffic_Analysis,2.74,0.33,2.41
2023-10-23,Dashboard_Update,1.17,0.06,1.11
2023-10-23,Data_Cleaning,3.85,1.71,2.14
2023-10-23,Monthly_Summary,2.07,0.83,1.24
2023-10-30,Lead_Report,3.2,0.63,2.57
2023-10-30,Traffic_Analysis,3.58,0.74,2.84
2023-10-30,Dashboard_Update,3.29,0.79,2.5
2023-10-30,Data_Cleaning,4.04,0.8,3.24
2023-10-30,Monthly_Summary,2.34,0.56,1.78
2023-11-06,Lead_Report,3.56,1.07,2.49
2023-11-06,Traffic_Analysis,1.72,0.13,1.59
2023-11-06,Dashboard_Update,4.84,1.1,3.74
2023-11-06,Data_Cleaning,4.23,2.05,2.18
2023-11-06,Monthly_Summary,3.9,0.74,3.16
2023-11-13,Lead_Report,4.57,2.11,2.46
2023-11-13,Traffic_Analysis,1.75,0.62,1.13
2023-11-13,Dashboard_Update,4.53,2.25,2.28
2023-11-13,Data_Cleaning,3.99,0.45,3.54
2023-11-13,Monthly_Summary,3.48,0.6,2.88
2023-11-20,Lead_Report,3.64,1.17,2.47
2023-11-20,Traffic_Analysis,3.74,1.59,2.15
2023-11-20,Dashboard_Update,2.97,0.22,2.75
2023-11-20,Data_Cleaning,3.32,1.44,1.88
2023-11-20,Monthly_Summary,3.99,1.31,2.68
2023-11-27,Lead_Report,4.58,0.31,4.27
2023-11-27,Traffic_Analysis,4.16,0.59,3.57
2023-11-27,Dashboard_Update,4.58,0.83,3.75
2023-11-27,Data_Cleaning,1.39,0.34,1.05
2023-11-27,Monthly_Summary,1.53,0.54,0.99
2023-12-04,Lead_Report,4.15,1.18,2.97
2023-12-04,Traffic_Analysis,1.09,0.25,0.84
2023-12-04,Dashboard_Update,1.09,0.36,0.73
2023-12-04,Data_Cleaning,1.69,0.15,1.54
2023-12-04,Monthly_Summary,2.2,0.47,1.73
2023-12-11,Lead_Report,3.07,1.15,1.92
2023-12-11,Traffic_Analysis,2.45,0.7,1.75
2023-12-11,Dashboard_Update,1.22,0.55,0.67
2023-12-11,Data_Cleaning,3.59,1.03,2.56
2023-12-11,Monthly_Summary,2.92,0.92,2.0
2023-12-18,Lead_Report,3.36,1.29,2.07
2023-12-18,Traffic_Analysis,3.69,1.49,2.2
2023-12-18,Dashboard_Update,4.86,1.14,3.72
2023-12-18,Data_Cleaning,4.37,0.89,3.48
2023-12-18,Monthly_Summary,4.71,1.93,2.78
2023-12-25,Lead_Report,2.04,0.41,1.63
2023-12-25,Traffic_Analysis,3.21,0.7,2.51
2023-12-25,Dashboard_Update,2.3,0.77,1.53
2023-12-25,Data_Cleaning,1.89,0.35,1.54
2023-12-25,Monthly_Summary,4.42,0.36,4.06
2024-01-01,Lead_Report,3.43,0.83,2.6
2024-01-01,Traffic_Analysis,3.56,0.93,2.63
2024-01-01,Dashboard_Update,4.02,0.61,3.41
2024-01-01,Data_Cleaning,2.75,0.65,2.1
2024-01-01,Monthly_Summary,2.27,0.42,1.85
2024-01-08,Lead_Report,4.64,2.06,2.58
2024-01-08,Traffic_Analysis,4.82,0.49,4.33
2024-01-08,Dashboard_Update,3.85,1.37,2.48
2024-01-08,Data_Cleaning,4.64,2.21,2.43
2024-01-08,Monthly_Summary,4.45,0.91,3.54
2024-01-15,Lead_Report,1.34,0.23,1.11
2024-01-15,Traffic_Analysis,1.7,0.6,1.1
2024-01-15,Dashboard_Update,3.01,0.85,2.16
2024-01-15,Data_Cleaning,1.91,0.7,1.21
2024-01-15,Monthly_Summary,2.54,1.21,1.33
2024-01-22,Lead_Report,3.19,1.04,2.15
2024-01-22,Traffic_Analysis,2.73,0.14,2.59
2024-01-22,Dashboard_Update,3.2,1.35,1.85
2024-01-22,Data_Cleaning,3.39,0.26,3.13
2024-01-22,Monthly_Summary,3.38,0.37,3.01
2024-01-29,Lead_Report,1.9,0.24,1.66
2024-01-29,Traffic_Analysis,1.88,0.79,1.09
2024-01-29,Dashboard_Update,3.7,1.53,2.17
2024-01-29,Data_Cleaning,4.03,1.07,2.96
2024-01-29,Monthly_Summary,2.11,0.87,1.24
2024-02-05,Lead_Report,1.94,0.37,1.57
2024-02-05,Traffic_Analysis,4.75,2.29,2.46
2024-02-05,Dashboard_Update,1.09,0.33,0.76
2024-02-05,Data_Cleaning,4.65,1.56,3.09
2024-02-05,Monthly_Summary,3.04,1.4,1.64
2024-02-12,Lead_Report,1.34,0.25,1.09
2024-02-12,Traffic_Analysis,2.26,0.25,2.01
2024-02-12,Dashboard_Update,3.73,1.35,2.38
2024-02-12,Data_Cleaning,4.47,1.45,3.02
2024-02-12,Monthly_Summary,4.88,1.21,3.67
2024-02-19,Lead_Report,3.32,1.39,1.93
2024-02-19,Traffic_Analysis,4.64,0.74,3.9
2024-02-19,Dashboard_Update,2.22,0.6,1.62
2024-02-19,Data_Cleaning,3.85,0.76,3.09
2024-02-19,Monthly_Summary,4.88,0.91,3.97
2024-02-26,Lead_Report,4.02,1.07,2.95
2024-02-26,Traffic_Analysis,1.11,0.23,0.88
2024-02-26,Dashboard_Update,1.69,0.3,1.39
2024-02-26,Data_Cleaning,1.0,0.37,0.63
2024-02-26,Monthly_Summary,4.67,0.86,3.81
2024-03-04,Lead_Report,4.47,0.9,3.57
2024-03-04,Traffic_Analysis,4.62,2.25,2.37
2024-03-04,Dashboard_Update,4.47,0.47,4.0
2024-03-04,Data_Cleaning,1.8,0.71,1.09
2024-03-04,Monthly_Summary,4.4,1.45,2.95
2024-03-11,Lead_Report,2.32,0.79,1.53
2024-03-11,Traffic_Analysis,4.31,0.41,3.9
2024-03-11,Dashboard_Update,4.46,1.97,2.49
2024-03-11,Data_Cleaning,3.1,0.46,2.64
2024-03-11,Monthly_Summary,2.81,0.52,2.29
2024-03-18,Lead_Report,1.36,0.3,1.06
2024-03-18,Traffic_Analysis,1.54,0.42,1.12
2024-03-18,Dashboard_Update,2.21,0.26,1.95
2024-03-18,Data_Cleaning,1.68,0.64,1.04
2024-03-18,Monthly_Summary,1.33,0.44,0.89
2024-03-25,Lead_Report,4.33,1.94,2.39
2024-03-25,Traffic_Analysis,2.21,0.64,1.57
2024-03-25,Dashboard_Update,1.13,0.51,0.62
2024-03-25,Data_Cleaning,4.94,1.04,3.9
2024-03-25,Monthly_Summary,2.98,0.39,2.59
2024-04-01,Lead_Report,4.08,0.72,3.36
2024-04-01,Traffic_Analysis,4.29,1.27,3.02
2024-04-01,Dashboard_Update,1.55,0.14,1.41
2024-04-01,Data_Cleaning,1.15,0.39,0.76
2024-04-01,Monthly_Summary,2.19,0.16,2.03
2024-04-08,Lead_Report,4.09,1.68,2.41
2024-04-08,Traffic_Analysis,4.38,1.7,2.68
2024-04-08,Dashboard_Update,3.59,1.16,2.43
2024-04-08,Data_Cleaning,4.98,0.33,4.65
2024-04-08,Monthly_Summary,2.85,0.5,2.35
2024-04-15,Lead_Report,4.62,1.4,3.22
2024-04-15,Traffic_Analysis,3.62,1.53,2.09
2024-04-15,Dashboard_Update,3.67,1.09,2.58
2024-04-15,Data_Cleaning,4.48,2.12,2.36
2024-04-15,Monthly_Summary,1.36,0.67,0.69
2024-04-22,Lead_Report,3.83,1.71,2.12
2024-04-22,Traffic_Analysis,2.37,0.86,1.51
2024-04-22,Dashboard_Update,1.93,0.82,1.11
2024-04-22,Data_Cleaning,1.22,0.42,0.8
