Week_Start,Task,Hours_Before,Hours_After,Hours_Saved
2024-04-22,Monthly_Summary,1.6,0.24,1.36
2024-04-29,Lead_Report,2.72,0.38,2.34
2024-04-29,Traffic_Analysis,4.72,0.75,3.97
2024-04-29,Dashboard_Update,1.11,0.32,0.79
2024-04-29,Data_Cleaning,1.85,0.81,1.04
2024-04-29,Monthly_Summary,2.62,1.04,1.58
2024-05-06,Lead_Report,4.92,1.45,3.47
2024-05-06,Traffic_Analysis,4.59,2.27,2.32
2024-05-06,Dashboard_Update,2.64,1.06,1.58
2024-05-06,Data_Cleaning,3.04,1.37,1.67
2024-05-06,Monthly_Summary,1.08,0.06,1.02
2024-05-13,Lead_Report,2.71,0.29,2.42
2024-05-13,Traffic_Analysis,1.46,0.66,0.8
2024-05-13,Dashboard_Update,4.31,0.39,3.92
2024-05-13,Data_Cleaning,1.14,0.31,0.83
2024-05-13,Monthly_Summary,1.58,0.57,1.01
2024-05-20,Lead_Report,1.2,0.48,0.72
2024-05-20,Traffic_Analysis,3.24,1.34,1.9
2024-05-20,Dashboard_Update,3.34,0.42,2.92
2024-05-20,Data_Cleaning,2.96,0.28,2.68
2024-05-20,Monthly_Summary,2.7,0.14,2.56
2024-05-27,Lead_Report,2.0,0.88,1.12
2024-05-27,Traffic_Analysis,1.63,0.1,1.53
2024-05-27,Dashboard_Update,1.48,0.38,1.1
2024-05-27,Data_Cleaning,1.18,0.07,1.11
2024-05-27,Monthly_Summary,2.41,0.17,2.24
2024-06-03,Lead_Report,2.44,0.12,2.32
2024-06-03,Traffic_Analysis,2.13,0.2,1.93
2024-06-03,Dashboard_Update,4.88,1.42,3.46
2024-06-03,Data_Cleaning,3.5,0.85,2.65
2024-06-03,Monthly_Summary,4.1,1.63,2.47
2024-06-10,Lead_Report,1.08,0.07,1.01
2024-06-10,Traffic_Analysis,3.38,1.36,2.02
2024-06-10,Dashboard_Update,2.81,0.93,1.88
2024-06-10,Data_Cleaning,4.39,1.71,2.68
2024-06-10,Monthly_Summary,3.74,1.26,2.48
2024-06-17,Lead_Report,4.67,1.93,2.74
2024-06-17,Traffic_Analysis,1.48,0.12,1.36
2024-06-17,Dashboard_Update,3.29,1.29,2.0
2024-06-17,Data_Cleaning,2.92,0.42,2.5
2024-06-17,Monthly_Summary,4.22,0.86,3.36
2024-06-24,Lead_Report,1.26,0.39,0.87
2024-06-24,Traffic_Analysis,1.51,0.64,0.87
2024-06-24,Dashboard_Update,3.47,0.61,2.86
2024-06-24,Data_Cleaning,2.16,0.32,1.84
2024-06-24,Monthly_Summary,3.21,1.3,1.91
2024-07-01,Lead_Report,3.64,0.87,2.77
2024-07-01,Traffic_Analysis,3.79,1.22,2.57
2024-07-01,Dashboard_Update,2.51,0.54,1.97
2024-07-01,Data_Cleaning,4.27,2.07,2.2
2024-07-01,Monthly_Summary,1.87,0.75,1.12
2024-07-08,Lead_Report,4.66,0.57,4.09
2024-07-08,Traffic_Analysis,4.12,1.72,2.4
2024-07-08,Dashboard_Update,4.1,0.29,3.81
2024-07-08,Data_Cleaning,4.96,1.07,3.89
2024-07-08,Monthly_Summary,3.63,0.38,3.25
2024-07-15,Lead_Report,2.45,0.7,1.75
2024-07-15,Traffic_Analysis,4.06,0.98,3.08
2024-07-15,Dashboard_Update,1.05,0.46,0.59
2024-07-15,Data_Cleaning,3.02,1.08,1.94
2024-07-15,Monthly_Summary,2.07,0.16,1.91
2024-07-22,Lead_Report,2.1,0.73,1.37
2024-07-22,Traffic_Analysis,4.03,0.78,3.25
2024-07-22,Dashboard_Update,1.3,0.4,0.9
2024-07-22,Data_Cleaning,3.75,1.46,2.29
2024-07-22,Monthly_Summary,2.1,0.57,1.53
2024-07-29,Lead_Report,2.84,0.37,2.47
2024-07-29,Traffic_Analysis,3.36,1.68,1.68
2024-07-29,Dashboard_Update,3.88,1.36,2.52
2024-07-29,Data_Cleaning,3.49,0.3,3.19
2024-07-29,Monthly_Summary,4.78,0.77,4.01
2024-08-05,Lead_Report,3.31,1.62,1.69
2024-08-05,Traffic_Analysis,2.95,1.13,1.82
2024-08-05,Dashboard_Update,4.61,0.23,4.38
2024-08-05,Data_Cleaning,4.98,0.3,4.68
2024-08-05,Monthly_Summary,2.08,0.23,1.85
2024-08-12,Lead_Report,1.35,0.1,1.25
2024-08-12,Traffic_Analysis,1.51,0.68,0.83
2024-08-12,Dashboard_Update,4.44,1.45,2.99
2024-08-12,Data_Cleaning,1.33,0.52,0.81
2024-08-12,Monthly_Summary,1.93,0.15,1.78
2024-08-19,Lead_Report,4.57,1.24,3.33
2024-08-19,Traffic_Analysis,3.16,0.43,2.73
2024-08-19,Dashboard_Update,4.84,0.85,3.99
2024-08-19,Data_Cleaning,1.69,0.41,1.28
2024-08-19,Monthly_Summary,4.92,0.94,3.98
2024-08-26,Lead_Report,3.89,0.39,3.5
2024-08-26,Traffic_Analysis,3.64,0.28,3.36
2024-08-26,Dashboard_Update,1.6,0.62,0.98
2024-08-26,Data_Cleaning,2.27,0.45,1.82
2024-08-26,Monthly_Summary,3.12,1.28,1.84
2024-09-02,Lead_Report,1.34,0.22,1.12
2024-09-02,Traffic_Analysis,2.3,0.16,2.14
2024-09-02,Dashboard_Update,3.42,0.83,2.59
2024-09-02,Data_Cleaning,3.83,1.19,2.64
2024-09-02,Monthly_Summary,1.68,0.25,1.43
2024-09-09,Lead_Report,2.01,0.19,1.82
2024-09-09,Traffic_Analysis,3.68,1.61,2.07
2024-09-09,Dashboard_Update,1.52,0.37,1.15
2024-09-09,Data_Cleaning,1.85,0.1,1.75
2024-09-09,Monthly_Summary,2.17,0.2,1.97
2024-09-16,Lead_Report,3.21,0.82,2.39
2024-09-16,Traffic_Analysis,4.58,1.44,3.14
2024-09-16,Dashboard_Update,4.87,1.88,2.99
2024-09-16,Data_Cleaning,1.58,0.15,1.43
2024-09-16,Monthly_Summary,3.83,0.37,3.46
2024-09-23,Lead_Report,4.37,0.94,3.43
2024-09-23,Traffic_Analysis,4.39,1.97,2.42
2024-09-23,Dashboard_Update,1.49,0.48,1.01
2024-09-23,Data_Cleaning,3.72,1.57,2.15
2024-09-23,Monthly_Summary,3.89,0.51,3.38
2024-09-30,Lead_Report,1.8,0.71,1.09
2024-09-30,Traffic_Analysis,2.87,0.16,2.71
2024-09-30,Dashboard_Update,1.07,0.17,0.9
2024-09-30,Data_Cleaning,2.89,1.33,1.56
2024-09-30,Monthly_Summary,4.92,0.99,3.93
2024-10-07,Lead_Report,1.54,0.54,1.0
2024-10-07,Traffic_Analysis,4.0,1.38,2.62
2024-10-07,Dashboard_Update,4.87,0.44,4.43
2024-10-07,Data_Cleaning,4.42,1.72,2.7
2024-10-07,Monthly_Summary,1.17,0.31,0.86
2024-10-14,Lead_Report,1.73,0.31,1.42
2024-10-14,Traffic_Analysis,4.04,0.36,3.68
2024-10-14,Dashboard_Update,4.25,0.69,3.56
2024-10-14,Data_Cleaning,3.3,0.95,2.35
2024-10-14,Monthly_Summary,4.82,0.76,4.06
2024-10-21,Lead_Report,1.28,0.36,0.92
2024-10-21,Traffic_Analysis,3.2,0.71,2.49
2024-10-21,Dashboard_Update,1.77,0.35,1.42
2024-10-21,Data_Cleaning,1.72,0.63,1.09
2024-10-21,Monthly_Summary,1.1,0.21,0.89
2024-10-28,Lead_Report,1.52,0.46,1.06
2024-10-28,Traffic_Analysis,1.03,0.36,0.67
2024-10-28,Dashboard_Update,1.77,0.28,1.49
2024-10-28,Data_Cleaning,1.27,0.63,0.64
2024-10-28,Monthly_Summary,2.64,0.6,2.04
2024-11-04,Lead_Report,3.96,1.21,2.75
2024-11-04,Traffic_Analysis,2.11,0.45,1.66
2024-11-04,Dashboard_Update,3.98,1.27,2.71
2024-11-04,Data_Cleaning,1.68,0.14,1.54
2024-11-04,Monthly_Summary,3.12,1.31,1.81
2024-11-11,Lead_Report,2.54,0.75,1.79
2024-11-11,Traffic_Analysis,1.73,0.71,1.02
2024-11-11,Dashboard_Update,2.92,1.11,1.81
2024-11-11,Data_Cleaning,4.28,2.08,2.2
2024-11-11,Monthly_Summary,3.1,1.15,1.95
2024-11-18,Lead_Report,2.21,0.13,2.08
2024-11-18,Traffic_Analysis,1.33,0.23,1.1
2024-11-18,Dashboard_Update,4.17,1.77,2.4
2024-11-18,Data_Cleaning,3.54,0.22,3.32
2024-11-18,Monthly_Summary,3.5,1.26,2.24
2024-11-25,Lead_Report,1.51,0.46,1.05
2024-11-25,Traffic_Analysis,3.41,0.59,2.82
2024-11-25,Dashboard_Update,4.96,0.55,4.41
2024-11-25,Data_Cleaning,2.18,0.86,1.32
2024-11-25,Monthly_Summary,1.75,0.83,0.92
2024-12-02,Lead_Report,1.95,0.85,1.1
2024-12-02,Traffic_Analysis,1.21,0.49,0.72
2024-12-02,Dashboard_Update,3.22,1.59,1.63
2024-12-02,Data_Cleaning,2.28,0.72,1.56
2024-12-02,Monthly_Summary,4.77,1.04,3.73
2024-12-09,Lead_Report,4.85,1.0,3.85
2024-12-09,Traffic_Analysis,4.59,2.13,2.46
2024-12-09,Dashboard_Update,2.51,0.77,1.74
2024-12-09,Data_Cleaning,3.73,1.28,2.45
2024-12-09,Monthly_Summary,1.52,0.48,1.04
2024-12-16,Lead_Report,4.62,2.1,2.52
2024-12-16,Traffic_Analysis,2.59,0.48,2.11
2024-12-16,Dashboard_Update,3.44,1.45,1.99
2024-12-16,Data_Cleaning,2.67,0.37,2.3
2024-12-16,Monthly_Summary,4.51,2.19,2.32
2024-12-23,Lead_Report,4.19,1.51,2.68
2024-12-23,Traffic_Analysis,2.07,0.97,1.1
2024-12-23,Dashboard_Update,3.83,1.89,1.94
2024-12-23,Data_Cleaning,4.09,1.94,2.15
2024-12-23,Monthly_Summary,1.67,0.18,1.49
2024-12-30,Lead_Report,3.66,1.72,1.94
2024-12-30,Traffic_Analysis,4.3,1.04,3.26
2024-12-30,Dashboard_Update,4.9,1.28,3.62
2024-12-30,Data_Cleaning,2.44,0.98,1.46
2024-12-30,Monthly_Summary,2.69,0.36,2.33
2025-01-06,Lead_Report,2.82,1.01,1.81
2025-01-06,Traffic_Analysis,1.37,0.3,1.07
2025-01-06,Dashboard_Update,3.37,1.11,2.26
2025-01-06,Data_Cleaning,1.94,0.24,1.7
2025-01-06,Monthly_Summary,1.24,0.57,0.67
2025-01-13,Lead_Report,3.09,1.29,1.8
2025-01-13,Traffic_Analysis,4.57,1.34,3.23
2025-01-13,Dashboard_Update,3.12,1.38,1.74
2025-01-13,Data_Cleaning,4.02,1.19,2.83
2025-01-13,Monthly_Summary,3.93,1.06,2.87
2025-01-20,Lead_Report,2.97,0.49,2.48
2025-01-20,Traffic_Analysis,3.59,0.56,3.03
2025-01-20,Dashboard_Update,3.03,0.74,2.29
2025-01-20,Data_Cleaning,2.0,0.86,1.14
2025-01-20,Monthly_Summary,3.22,1.04,2.18
2025-01-27,Lead_Report,1.9,0.27,1.63
2025-01-27,Traffic_Analysis,2.17,0.98,1.19
2025-01-27,Dashboard_Update,1.18,0.55,0.63
2025-01-27,Data_Cleaning,4.19,2.03,2.16
2025-01-27,Monthly_Summary,4.85,0.47,4.38
2025-02-03,Lead_Report,1.84,0.88,0.96
2025-02-03,Traffic_Analysis,3.75,1.22,2.53
2025-02-03,Dashboard_Update,4.51,0.77,3.74
2025-02-03,Data_Cleaning,4.55,2.02,2.53
2025-02-03,Monthly_Summary,3.09,0.98,2.11
2025-02-10,Lead_Report,3.4,0.24,3.16
2025-02-10,Traffic_Analysis,1.72,0.26,1.46
2025-02-10,Dashboard_Update,3.17,0.75,2.42
2025-02-10,Data_Cleaning,2.52,0.81,1.71
2025-02-10,Monthly_Summary,2.13,0.28,1.85
2025-02-17,Lead_Report,2.33,0.46,1.87
2025-02-17,Traffic_Analysis,3.28,0.28,3.0
2025-02-17,Dashboard_Update,2.56,0.89,1.67
2025-02-17,Data_Cleaning,4.17,1.41,2.76
2025-02-17,Monthly_Summary,4.1,1.69,2.41
2025-02-24,Lead_Report,2.98,0.58,2.4
2025-02-24,Traffic_Analysis,3.23,1.04,2.19
2025-02-24,Dashboard_Update,2.71,0.29,2.42
2025-02-24,Data_Cleaning,3.24,0.26,2.98
2025-02-24,Monthly_Summary,3.24,1.19,2.05
2025-03-03,Lead_Report,1.3,0.36,0.94
2025-03-03,Traffic_Analysis,1.37,0.68,0.69
2025-03-03,Dashboard_Update,2.57,0.43,2.14
2025-03-03,Data_Cleaning,4.81,0.72,4.09
2025-03-03,Monthly_Summary,4.21,0.91,3.3
2025-03-10,Lead_Report,1.72,0.59,1.13
2025-03-10,Traffic_Analysis,3.56,0.51,3.05
2025-03-10,Dashboard_Update,3.2,0.77,2.43
2025-03-10,Data_Cleaning,1.24,0.58,0.66
2025-03-10,Monthly_Summary,3.48,0.44,3.04
2025-03-17,Lead_Report,2.44,0.62,1.82
2025-03-17,Traffic_Analysis,3.05,0.88,2.17
2025-03-17,Dashboard_Update,1.15,0.1,1.05
2025-03-17,Data_Cleaning,3.41,0.52,2.89
2025-03-17,Monthly_Summary,3.21,0.31,2.9
2025-03-24,Lead_Report,1.64,0.26,1.38
2025-03-24,Traffic_Analysis,3.99,0.85,3.14
2025-03-24,Dashboard_Update,3.33,0.29,3.04
2025-03-24,Data_Cleaning,3.74,1.0,2.74
2025-03-24,Monthly_Summary,3.35,0.34,3.01
2025-03-31,Lead_Report,4.49,1.66,2.83
2025-03-31,Traffic_Analysis,1.64,0.45,1.19
2025-03-31,Dashboard_Update,2.35,0.17,2.18
2025-03-31,Data_Cleaning,4.7,1.08,3.62
2025-03-31,Monthly_Summary,4.91,1.61,3.3
2025-04-07,Lead_Report,4.71,0.31,4.4
2025-04-07,Traffic_Analysis,3.39,0.99,2.4
2025-04-07,Dashboard_Update,4.35,0.51,3.84
2025-04-07,Data_Cleaning,3.76,0.55,3.21
2025-04-07,Monthly_Summary,2.45,0.19,2.26
2025-04-14,Lead_Report,3.55,1.08,2.47
2025-04-14,Traffic_Analysis,4.93,1.49,3.44
2025-04-14,Dashboard_Update,1.28,0.25,1.03
2025-04-14,Data_Cleaning,3.31,1.39,1.92
2025-04-14,Monthly_Summary,4.67,0.6,4.07
2025-04-21,Lead_Report,4.39,1.42,2.97
2025-04-21,Traffic_Analysis,2.86,0.74,2.12
2025-04-21,Dashboard_Update,4.57,1.37,3.2
2025-04-21,Data_Cleaning,2.21,0.21,2.0
2025-04-21,Monthly_Summary,4.17,0.92,3.25
